email,firstName,lastName,playlists,points,username
fakeuser1@example.com,John,Doe,"[{""playlistId"": ""/playlists/2gokMr3jQlfhSo3X30ct""}]","{""generalPoints"": 100, ""postPoints"": 50, ""reviewPoints"": 25}",john_doe
fakeuser2@example.com,Jane,Smith,"[{""playlistId"": ""/playlists/XWJ5tqIscT8uDQsrqEwC""}]","{""generalPoints"": 200, ""postPoints"": 75, ""reviewPoints"": 50}",jane_smith
fakeuser3@example.com,Alice,Johnson,"[{""playlistId"": ""/playlists/mNDdyTzfliJSsIK5hWo9""}]","{""generalPoints"": 150, ""postPoints"": 60, ""reviewPoints"": 30}",alice_johnson
fakeuser4@example.com,Bob,Williams,"[{""playlistId"": ""/playlists/1CIwF7zysvoCUfb8MY5k""}]","{""generalPoints"": 180, ""postPoints"": 40, ""reviewPoints"": 20}",bob_williams
fakeuser5@example.com,Charlie,Brown,"[{""playlistId"": ""/playlists/ceDckjg9MKKjqnusuXez""}]","{""generalPoints"": 90, ""postPoints"": 30, ""reviewPoints"": 10}",charlie_brown
fakeuser6@example.com,Emily,Miller,"[{""playlistId"": ""/playlists/iusHgDYR1mUsNRBR35sV""}]","{""generalPoints"": 170, ""postPoints"": 60, ""reviewPoints"": 40}",emily_miller
fakeuser7@example.com,David,Davis,"[{""playlistId"": ""/playlists/2LKXVOINB3liiDJGA8GY""}]","{""generalPoints"": 110, ""postPoints"": 45, ""reviewPoints"": 20}",david_davis
fakeuser8@example.com,Sophia,Garcia,"[{""playlistId"": ""/playlists/LJ2MttEkThyKDY1VoTbg""}]","{""generalPoints"": 120, ""postPoints"": 55, ""reviewPoints"": 35}",sophia_garcia
fakeuser9@example.com,Michael,Wilson,"[{""playlistId"": ""/playlists/F3NSOBvZ7qxFfO28AZG1""}]","{""generalPoints"": 130, ""postPoints"": 50, ""reviewPoints"": 30}",michael_wilson
fakeuser10@example.com,Olivia,Martinez,"[{""playlistId"": ""/playlists/P2ZIH63JC4diM1JPhar7""}]","{""generalPoints"": 140, ""postPoints"": 60, ""reviewPoints"": 40}",olivia_martinez
